,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
50,53.98584193,58.12187091,59.50588736,70.28176366,58.07372106,53.55478891,58.42943426,49.33847003,44.41302883,49.06169009,52.76986383,64.43715522,51.15673331,54.91688704,38.51631809,51.17165976,39.59252736,62.06998859,36.03839388,44.43729188,48.12100948,49.11152334,67.88937263,74.23181269,43.35307359
51,55.39149153,56.5633898,60.47228135,66.77471307,53.5224125,55.36860933,54.5537225,48.76863926,42.24397437,56.41790064,50.46047246,51.54944735,51.80430981,58.04666294,42.23334858,52.65464183,41.56980239,64.58022494,38.13589225,45.21558996,51.46490685,46.71471958,74.03200573,68.77490912,43.5369045
52,48.84858463,50.29305976,49.82380578,58.8269495,45.39376547,38.76171456,46.0286652,44.1609073,38.52960324,48.7491602,46.64706827,44.21957005,48.64417846,53.34615438,38.73844998,44.56686339,38.71752313,59.37031149,36.79322793,42.17584891,43.91644057,43.56196399,67.06217309,64.71716528,42.93669192
53,49.74579903,50.16096972,57.17405354,65.6674037,44.48923003,34.8049645,45.57797597,46.36549918,37.16965423,47.33193779,49.19278841,42.51962698,49.04878272,58.05689421,38.17723932,47.03724089,41.19387912,62.55724228,35.28280468,49.03997959,44.00147836,45.03625035,73.17213716,65.03136791,38.37832262
54,47.32469744,42.25305678,56.12152705,64.37925187,44.0903876,36.7597476,44.07359705,54.43283518,41.58128981,46.80278188,44.01561144,45.6801934,49.4387619,52.39321503,43.91899585,46.99073144,40.95846829,58.08300941,30.40535799,46.65430814,44.45504922,44.63122725,67.97039329,52.68777509,41.512823
55,38.88915226,38.29032987,49.64668782,55.12761675,36.16622988,32.90401798,36.19889972,44.87448073,38.01018762,40.4042885,36.14341562,43.94309537,35.44420836,43.63223601,38.30054672,39.06749744,36.56974127,47.26483781,28.31434507,40.91090045,40.43431156,26.33286355,58.23835597,43.23083251,36.80805738
56,32.78324899,32.91849353,42.63612124,45.68108653,32.11826922,28.91236702,32.13009991,43.11681929,34.74082974,35.06118169,33.86357651,43.15042557,29.85766739,37.39805762,36.318621,35.23837001,31.86860901,41.40521332,26.74244908,38.24975078,36.05941252,25.82433543,51.3576547,36.30839173,33.53380369
57,52.91533699,48.50002293,52.08137775,55.67392235,39.64971584,30.02598448,40.42424056,50.05199456,36.78561133,41.71984582,43.30374434,48.01446466,41.08279529,47.27463492,42.18169516,41.44600902,42.34361162,50.89316651,30.87516969,50.53220759,42.05085888,24.11596075,63.1867592,47.65946992,31.48697164
58,43.70876924,42.4870266,40.30772466,46.65848663,32.91625463,25.07577793,33.68366968,48.20916065,27.8776058,40.09838289,42.19939802,45.34070223,36.95285231,41.06434774,41.08081729,41.1124259,39.89193568,44.18391789,40.80147126,44.45719168,40.18426557,21.78765555,49.17660679,39.12481526,27.32714047
59,43.55727904,40.23169409,38.25917372,39.0574156,32.69306394,26.42538272,33.61591333,42.02659526,22.7900827,45.96949993,42.96147345,39.8686076,36.63776687,40.34212694,37.91910793,41.78520659,40.06779605,41.43849023,47.03374501,45.25822701,51.00635223,27.03111384,48.21652811,37.8105954,25.74541959
60,48.10875256,42.52798362,45.57413729,41.54506479,40.57298828,36.67701586,40.15327576,47.51928429,28.28920624,47.44867807,38.41593025,39.18643229,42.73174969,46.80504974,46.83169702,43.80192269,47.29181209,49.00269352,49.43605434,52.91996732,46.78834562,27.90631167,51.10474665,45.11222483,31.1652566
61,42.68633332,41.08944546,40.28366783,34.38983116,36.99584843,33.41355682,36.54902659,43.40969355,25.13732581,41.74002532,43.03187185,34.29632018,38.44644638,44.38337426,41.83675986,36.76709773,39.43650541,44.42861868,40.90028279,44.93802343,39.90930535,25.17639958,48.00926481,43.50384409,26.629912
62,45.54652062,44.24666546,43.1815343,37.47710916,38.43863302,34.4415231,38.18680823,50.09721703,33.88401211,49.01801908,51.97259782,43.03697752,42.7619056,46.35189378,49.36785198,46.53042259,41.13238447,45.76105465,46.50839792,44.75882639,45.77606556,24.47324301,51.07470834,45.97238411,27.06952398
63,51.30798171,49.71202555,43.78954051,40.27147336,41.08743741,33.65658826,40.9606462,49.25022006,43.11504099,52.68501857,56.19601254,43.22468868,47.23064193,47.84892078,48.8007996,50.96237653,47.86039094,47.65639378,49.38729299,49.28570976,48.73411215,30.14827845,57.77408383,51.68476282,31.90286338
64,51.41362324,51.60030831,41.19705702,46.04575604,41.80376303,39.85371779,41.60301843,55.7227409,50.33955111,52.75408404,56.47019811,42.73363117,49.50678687,51.1686954,53.23585058,51.59166859,50.64986034,50.85500868,48.20346594,50.3841299,48.67058095,29.40903237,56.39710638,50.83300765,37.01145628
65,46.71937937,44.86214085,37.67321463,41.20008878,37.95497986,37.92802722,38.12767801,49.59027851,48.09101982,46.31244652,50.28447213,37.68869815,43.21401432,43.60829824,48.6933999,46.05442283,43.68060444,42.7262306,46.42961258,46.94885339,41.80308778,27.03282622,52.03644301,45.44403007,32.68132133
66,48.0034756,47.64399644,38.59349233,41.32160651,40.58751652,39.01061536,40.30224787,52.31551477,44.85141246,48.19821962,48.89606139,43.36922464,46.64341829,46.2780957,48.6933999,49.16133016,41.15277561,43.74226348,45.12466946,47.70342631,57.32281645,28.81708718,52.48585351,47.65948849,31.89715752
67,52.79121017,52.58091645,47.57621305,45.61330536,44.67840131,48.44240985,44.35666734,58.05968294,50.45868733,54.76351341,53.46356257,47.74758214,51.70276028,50.7263709,56.86032862,50.86189372,42.94889994,50.24728184,46.38682185,46.3466791,58.72002809,36.3372866,56.67067683,52.08139043,40.53970345
68,50.37639614,51.26322314,46.59553055,44.54580983,42.48230261,49.94324351,42.13527985,58.80452592,49.11074265,52.88229314,47.90946697,48.23792321,47.36992205,48.61498931,58.03742889,49.42820988,42.06015141,47.08792945,45.84602996,48.36938013,56.95532266,36.38337975,55.78227423,51.4102935,38.66106918
69,54.18239904,53.87577196,51.93659797,47.63310767,45.56288255,47.11610227,45.30501925,58.74835534,46.67114123,54.7935767,50.55649531,47.48857713,53.47884872,51.59274533,57.05937566,51.33438524,43.0670855,50.54984137,43.24035437,55.2559567,59.40196174,34.34765714,58.38197001,55.59319981,43.2622826
