,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
70,52.91194067,54.78172862,49.94199145,45.3863941,45.29585392,47.95781175,44.62485148,60.16240491,49.15681203,56.26074415,50.60269689,53.98430545,46.9299098,50.80621811,59.24316303,51.79908274,42.18286501,49.78784332,47.14918603,55.39423661,61.28885009,33.95727511,55.33102471,50.58910293,41.33580619
71,55.36880106,56.4823598,49.93533297,47.0140114,47.9402311,48.37978224,46.93141649,61.7582612,45.80359086,57.63805815,57.11960332,55.88582743,46.74916295,53.5019246,61.61662588,54.6002054,45.67883394,49.18521657,48.72278625,63.12612244,66.97773387,36.03602524,57.36633197,51.37793754,44.19060606
72,59.35025007,60.07269335,53.93868243,55.35337458,55.58462559,53.40642431,55.2666938,63.30089114,44.54203948,56.67703975,64.07446144,57.72089119,46.74916295,57.73940619,60.47877293,51.17286762,46.70090676,55.64593623,47.57857888,64.77299404,69.03093926,38.70728589,60.97793915,58.41953568,51.08058225
73,60.09677832,59.20322377,53.05512481,58.08972747,54.55489615,50.24238075,54.73443533,67.66308265,47.06665012,55.67734142,61.27830413,55.46675314,44.7716404,59.15898852,63.55085338,44.2574099,55.89766917,57.11714268,46.0891594,65.3711865,66.51664013,40.67470117,60.90609211,60.16964157,48.67270695
74,59.05508058,49.48483766,47.77505872,61.19108608,57.5539841,52.53347664,58.00524418,67.26176787,49.98229815,55.80326784,60.43288149,49.01423972,50.81386413,57.56649645,64.22385186,43.87250394,50.62293667,56.30896899,31.21800744,62.16148674,64.49286063,38.2989324,56.73080088,59.20261371,45.09573025
75,55.56614955,39.64069045,47.54565539,56.62423632,54.22897174,49.94308042,54.03715409,62.20495968,45.99328076,52.1342808,59.46651712,44.28260179,50.19779076,58.12674203,61.64951657,41.82180653,50.49325224,52.85483628,27.79989855,58.89584519,65.26514003,37.5594949,54.00413343,56.18788513,43.44529362
76,56.44002661,39.0731806,44.2001771,55.17272657,53.26992723,49.31003913,52.58890444,64.7909332,43.38963379,57.14734178,58.43152605,41.52258431,48.82091332,58.76195858,63.771911,42.37586146,51.72971493,50.02929779,25.69240496,58.43608141,70.43985885,39.31368691,54.06407236,53.96819638,44.35905632
77,49.72927612,36.38516225,42.41673868,47.33389672,41.69377039,41.40943505,42.1162424,61.10394511,43.43481364,56.532096,58.24956777,38.00541463,47.47062546,48.95036095,56.55728043,40.80050748,48.89704904,46.47787284,24.44508561,56.53485126,69.18909801,35.86778197,46.07768578,45.60279063,45.31065124
78,47.51913083,37.80749403,39.50850987,47.34504737,41.78696388,41.40943505,42.42834726,61.51217525,42.31555385,60.86337476,59.0282046,38.67975241,46.35540615,48.78536993,61.03246023,42.83868304,51.21893392,45.26129076,23.94434376,59.02987754,65.58351221,37.52933549,45.52064746,44.56392646,39.74701312
79,52.94139026,38.98693799,46.90085061,54.79483139,47.07534846,59.233068,47.24322459,64.82526395,44.95696735,65.79263177,61.45326528,40.30749502,46.7085223,62.20699839,65.55189562,47.13694871,64.14997798,54.6979276,27.54089438,61.15176584,63.86925977,52.11961382,50.6902314,51.95225632,58.81035962
80,56.78782502,36.50201709,47.79181541,60.48891184,44.5324599,58.47839204,45.09200647,69.36866035,49.43395816,66.37486871,64.77386415,43.01489369,44.69242594,59.16335345,51.13469927,48.01264941,65.03666367,51.00349244,28.0295664,63.2492333,64.1445201,54.75519102,50.67893741,50.68791079,59.53599532
81,50.2644893,42.59869336,46.70455852,59.53012042,41.88822018,56.3227315,42.44200938,63.78618118,49.3434871,56.77703359,58.28522087,40.21806719,42.92513137,60.84101375,50.97737732,42.7870898,61.36980793,54.47869121,26.52067111,64.16476198,59.28077174,49.76942452,50.31710858,52.26705869,56.04247365
82,53.93169835,49.42853345,48.67429829,61.17720539,47.65426541,58.26106268,47.64658877,62.88388258,52.47584481,47.80747538,58.81417641,41.39062261,42.92513137,62.05664394,47.80932305,41.47616957,60.99056446,57.2533482,25.333263,62.40398852,52.87612326,59.76075644,53.28638853,56.4063406,58.86776872
83,49.93942515,59.51902907,47.96688221,59.15508077,44.50128153,60.50387137,44.82198008,64.25605746,53.11378052,46.85098815,53.32828916,39.94909017,40.35782734,58.54598802,47.21683631,35.3729835,62.85200315,63.91649621,22.43022868,55.54237213,48.55934385,56.06230282,49.46115521,55.6948495,56.3706023
84,51.39567614,59.88824618,53.78807404,59.43057737,44.56843683,57.42159423,44.6763848,65.39331763,44.39947097,43.74822448,54.26338255,36.99620384,38.40206842,60.26003783,46.14921226,34.35359498,56.66425692,64.62021281,26.18134477,53.10119137,50.04488728,55.86517702,55.2125356,58.76586466,55.73407737
85,54.18909403,66.93253161,58.3480564,60.49127164,50.89245951,60.18155045,51.03235834,63.38843276,49.54548838,45.51888876,56.63643819,43.75672225,43.55697991,62.31563798,47.90561217,39.02417472,59.56434006,66.42584739,34.82803236,57.52793199,51.48800808,55.6078256,57.78375834,60.09597809,59.99115171
86,56.78989883,68.08912654,64.35175237,62.75976269,52.87554246,61.58950094,52.60778742,60.91625888,53.70070219,46.67378239,53.04576335,49.76054888,47.30813053,64.53321736,51.85173689,37.53654406,56.32151197,67.41149812,33.07345008,52.33054852,48.92797111,54.28575289,60.26065892,63.40816084,63.35286998
87,55.47792067,68.87369362,65.31440835,61.2306895,52.64012818,62.58472255,52.36514725,64.97984363,53.26528291,47.9649915,50.2156298,52.63775796,53.09380355,65.79443475,53.43450586,35.17778755,58.75609621,68.92227076,31.05182097,55.2341983,44.89937436,53.70014777,63.57380892,66.30605488,63.56556578
88,58.33488835,70.04125692,68.20648665,63.17672788,59.42863419,66.28802174,59.03592694,69.48638565,55.62865089,49.99895648,45.96029661,51.75115398,60.1355921,67.61595243,60.74106222,38.97068474,60.85198172,69.03040113,38.0724955,58.24339178,52.91315398,57.51952845,67.77233739,67.81721688,67.06517012
89,60.66808643,72.32811589,70.35853713,63.31393466,62.57239465,68.83703558,61.97943206,69.68182,54.5153214,57.32314066,52.82961144,57.06630451,62.34908384,67.92901743,66.28360258,45.9356166,62.10872619,71.60502122,43.28833206,56.69125532,53.58514847,60.78778189,68.8256342,69.16956655,68.77513167
90,59.88618628,69.24817562,64.32239502,61.89503615,61.91870481,70.07656758,62.11600005,71.674504,52.08604908,63.13802856,58.58699106,56.90557897,60.5790278,69.55349358,63.89563712,51.99581527,66.64869421,71.9167098,44.7030105,57.33461312,62.19501838,63.21504866,69.38355841,69.18525005,65.13330939
91,60.7424008,68.29775844,64.80435045,61.56513566,62.56754934,69.36427199,62.52363565,72.71586149,46.91773617,65.13303896,63.4445522,58.24993445,60.69082649,66.84116496,65.56560856,48.35169697,67.66847741,68.59224052,44.21705514,57.59722626,62.11886856,66.11894647,63.49907188,59.59591944,67.97421113
92,57.87991937,64.58771176,55.3047478,55.63904065,55.67372536,64.67183763,55.56394104,69.46558091,42.98162419,60.26118664,58.04829932,54.06450269,56.910436,66.33877573,65.32893787,45.63696779,59.74765991,68.26072591,42.39720266,56.35217492,58.42221532,60.93827576,60.70324152,60.4787901,70.0397848
93,57.1850481,66.57725159,55.62640548,57.57001992,55.43759574,62.47455573,56.19993061,68.55172621,44.46307953,54.95900871,60.41574586,52.69254932,57.91632397,65.32922858,66.08693906,46.40358265,56.09785627,68.77540298,46.56022454,63.25869153,61.26653769,62.52846606,61.51765046,61.78675164,73.17355432
94,53.25624976,63.93182389,56.88867208,56.26541105,54.53389935,63.14872944,55.13598488,68.01645395,43.43789814,56.86381409,61.71534794,51.30362685,56.18489781,60.77602352,65.15319148,42.04960374,53.7762075,65.23773446,49.47557381,64.90645216,56.15194859,63.05580036,60.59325096,53.65881936,73.17355432
95,53.889338,62.40583417,55.13024893,54.48528503,50.86727539,60.87717321,51.12715088,59.94985343,39.53175882,58.47902871,63.4654376,46.9530445,48.64302339,60.77602352,61.28967001,43.53309884,57.54274115,62.87637089,46.25264679,62.72786692,56.55401395,64.330071,62.00513633,55.75580794,74.66849557
96,58.09944251,64.19254791,53.42228549,56.69929894,54.9052314,63.26230624,54.94092187,64.25802971,,57.13047352,,50.91727357,52.47250327,,65.05981498,41.98964651,61.38525995,64.26918017,50.41335549,64.06729092,52.34484702,64.82498311,62.01696699,,74.42036848
